Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
"What are EC2 instances, and how do they differ from traditional physical servers?","EC2 instances are physical servers located in AWS data centers that require manual setup, maintenance, and cannot be scaled or terminated once provisioned","EC2 instances are virtual servers in the cloud. They differ from physical servers by: being virtualized (can be created/destroyed instantly), scalable (resize capacity), pay-per-use (no upfront costs), no physical maintenance needed, can be replicated easily across regions/AZs.","EC2 instances are database services that provide persistent storage and data management capabilities with automatic backup and replication features","EC2 instances are networking services that manage traffic routing and load balancing between on-premises infrastructure and AWS cloud resources","B","EC2 instances are virtual servers in the cloud. They differ from physical servers by: being virtualized (can be created/destroyed instantly), scalable (resize capacity), pay-per-use (no upfront costs), no physical maintenance needed, can be replicated easily across regions/AZs."
"What are the different EC2 instance type families, and how do you choose the right instance type for a workload?","All EC2 instance types are identical in performance and capabilities, with the only difference being the pricing model and billing structure","EC2 Instance Families: General Purpose (m5, t3) - balanced compute/memory/networking; Compute Optimized (c5) - CPU-intensive; Memory Optimized (r5) - large memory; Storage Optimized (i3) - high IOPS; Accelerated Computing (p3, g4) - GPU/FPGA. Choose based on workload: CPU-bound (Compute), memory-bound (Memory), storage I/O (Storage), ML/graphics (Accelerated).","Instance families are automatically assigned by AWS based on application type, with no manual selection or configuration options available to users","EC2 instance families differ only in geographic region availability, with all families providing identical compute, memory, and storage capabilities regardless of location","B","EC2 Instance Families: General Purpose (m5, t3) - balanced compute/memory/networking; Compute Optimized (c5) - CPU-intensive; Memory Optimized (r5) - large memory; Storage Optimized (i3) - high IOPS; Accelerated Computing (p3, g4) - GPU/FPGA. Choose based on workload: CPU-bound (Compute), memory-bound (Memory), storage I/O (Storage), ML/graphics (Accelerated)."
"What are the advantages and disadvantages of On-Demand EC2 instances?","On-Demand instances require upfront payment and long-term commitments, making them less flexible but more cost-effective for short-term workloads","On-Demand Instances: Pay by hour/second with no commitment. Advantages: flexible, no upfront costs, no long-term commitment. Disadvantages: most expensive pricing model, no discounts. Best for: short-term workloads, unpredictable usage, testing, applications that can't be interrupted.","On-Demand instances automatically scale based on demand without any manual configuration, providing the most cost-effective pricing model with automatic discounts","On-Demand instances can only be used for development and testing environments, with production workloads requiring Reserved Instances or Spot Instances","B","On-Demand Instances: Pay by hour/second with no commitment. Advantages: flexible, no upfront costs, no long-term commitment. Disadvantages: most expensive pricing model, no discounts. Best for: short-term workloads, unpredictable usage, testing, applications that can't be interrupted."
"What are the different Reserved Instance types (Standard, Convertible, Scheduled), and when should each be used?","Reserved Instances are automatically applied to all EC2 instances and provide uniform discounts regardless of instance type or usage patterns","Reserved Instance Types: Standard (up to 75% discount, can't change attributes), Convertible (up to 54% discount, can exchange for different attributes), Scheduled (match capacity to predictable schedules). Use Standard for steady workloads, Convertible for flexibility, Scheduled for predictable schedules.","All Reserved Instance types provide identical discounts and flexibility, with the only difference being the payment method and billing frequency options","Reserved Instances can only be purchased for a maximum of 6 months and cannot be used for long-term cost optimization strategies","B","Reserved Instance Types: Standard (up to 75% discount, can't change attributes), Convertible (up to 54% discount, can exchange for different attributes), Scheduled (match capacity to predictable schedules). Use Standard for steady workloads, Convertible for flexibility, Scheduled for predictable schedules."
"What are the risks and benefits of using EC2 Spot Instances, and what workloads are suitable for them?","Spot Instances provide guaranteed availability with automatic failover protection and are ideal for critical production databases and mission-critical applications","Spot Instances: Bid for unused EC2 capacity (up to 90% discount). Risks: can be terminated with 2-minute notice when AWS needs capacity. Benefits: very low cost, good for fault-tolerant workloads. Suitable for: batch jobs, data analysis, CI/CD, workloads that can handle interruptions. Not suitable for: databases, critical production apps.","Spot Instances offer the same reliability and availability as On-Demand instances but with slightly lower performance and reduced network bandwidth capabilities","Spot Instances can only be used for development and testing environments, with production workloads requiring On-Demand or Reserved Instance types","B","Spot Instances: Bid for unused EC2 capacity (up to 90% discount). Risks: can be terminated with 2-minute notice when AWS needs capacity. Benefits: very low cost, good for fault-tolerant workloads. Suitable for: batch jobs, data analysis, CI/CD, workloads that can handle interruptions. Not suitable for: databases, critical production apps."
"When would you choose Dedicated Hosts over regular EC2 instances, and what are the cost implications?","Dedicated Hosts are automatically assigned to all EC2 instances and provide better performance at no additional cost compared to regular instances","Dedicated Hosts: Physical servers dedicated to your use. Choose when: need to use existing server-bound licenses, have compliance requirements, need visibility into socket/core placement. Cost implications: more expensive than regular instances, but can save on licensing costs. Best for: licensing compliance, regulatory requirements.","Dedicated Hosts are only available for development environments and cannot be used for production workloads or compliance-sensitive applications","Dedicated Hosts provide the same cost structure as regular EC2 instances with identical pricing and billing models regardless of instance type or usage","B","Dedicated Hosts: Physical servers dedicated to your use. Choose when: need to use existing server-bound licenses, have compliance requirements, need visibility into socket/core placement. Cost implications: more expensive than regular instances, but can save on licensing costs. Best for: licensing compliance, regulatory requirements."
"How does Elastic Block Store (EBS) differ from Instance Store, and what are the EBS volume types?","EBS volumes are ephemeral storage that is physically attached to EC2 instances and provide the highest IOPS performance, while Instance Store provides persistent network-attached storage","EBS (Elastic Block Store): Persistent network-attached storage, survives instance termination, can be detached/reattached. EBS Volume Types: gp3 (general purpose, 3000 IOPS baseline), gp2 (general purpose, 3000 IOPS burst), io1/io2 (provisioned IOPS, up to 64,000 IOPS), st1 (throughput optimized HDD), sc1 (cold HDD). Instance Store: Ephemeral, physically attached, data lost on stop/terminate, very high IOPS.","EBS and Instance Store are identical storage options with the same performance characteristics, persistence, and pricing models, making them interchangeable","EBS volumes can only be used for boot volumes and cannot be attached as additional storage to running EC2 instances","B","EBS (Elastic Block Store): Persistent network-attached storage, survives instance termination, can be detached/reattached. EBS Volume Types: gp3 (general purpose, 3000 IOPS baseline), gp2 (general purpose, 3000 IOPS burst), io1/io2 (provisioned IOPS, up to 64,000 IOPS), st1 (throughput optimized HDD), sc1 (cold HDD). Instance Store: Ephemeral, physically attached, data lost on stop/terminate, very high IOPS."
"What are the use cases for Instance Store volumes versus EBS volumes?","Instance Store volumes should be used for all persistent data including databases and boot volumes, as they provide better performance and reliability than EBS volumes","Instance Store Use Cases: Temporary cache, scratch data, buffer/queue data, temporary files. Advantages: very high IOPS, low latency, free with instance. Disadvantages: data lost on stop/terminate, can't detach/reattach. EBS Use Cases: databases, boot volumes, persistent data, data that needs to survive instance lifecycle.","Instance Store and EBS volumes are identical in functionality and can be used interchangeably for all storage use cases without any differences in performance or persistence","Instance Store volumes automatically replicate data to multiple Availability Zones, providing better durability than EBS volumes for critical applications","B","Instance Store Use Cases: Temporary cache, scratch data, buffer/queue data, temporary files. Advantages: very high IOPS, low latency, free with instance. Disadvantages: data lost on stop/terminate, can't detach/reattach. EBS Use Cases: databases, boot volumes, persistent data, data that needs to survive instance lifecycle."
"How do Security Groups enhance EC2 instance security, and what are the default rules?","Security Groups automatically allow all inbound and outbound traffic by default, requiring explicit rules only to restrict specific ports or IP addresses","Security Groups: Virtual firewalls controlling inbound/outbound traffic to EC2 instances. Characteristics: Stateful (allow inbound automatically allows corresponding outbound response), operate at instance level, default deny all inbound, default allow all outbound, can reference other security groups. Default rules: all inbound denied, all outbound allowed.","Security Groups are stateless firewalls that require separate rules for inbound and outbound traffic, with all traffic denied by default in both directions","Security Groups can only be applied at the VPC level and cannot be attached to individual EC2 instances for granular access control","B","Security Groups: Virtual firewalls controlling inbound/outbound traffic to EC2 instances. Characteristics: Stateful (allow inbound automatically allows corresponding outbound response), operate at instance level, default deny all inbound, default allow all outbound, can reference other security groups. Default rules: all inbound denied, all outbound allowed."
"What are EC2 Key Pairs, and how do they enable secure access to instances?","EC2 Key Pairs are automatically generated by AWS and stored securely in AWS Secrets Manager, requiring no user management or configuration","EC2 Key Pairs: Public-private key pairs for secure SSH/RDP access. Public key stored by AWS, private key downloaded (must keep secure). Used for: SSH access to Linux instances, RDP access to Windows instances (can use key pair or password). Best practice: don't share private keys, use different key pairs per environment.","Key Pairs are only used for Windows instances and cannot be used for Linux instances, which require password-based authentication only","EC2 Key Pairs provide temporary access credentials that expire after 24 hours and must be regenerated regularly for security compliance","B","EC2 Key Pairs: Public-private key pairs for secure SSH/RDP access. Public key stored by AWS, private key downloaded (must keep secure). Used for: SSH access to Linux instances, RDP access to Windows instances (can use key pair or password). Best practice: don't share private keys, use different key pairs per environment."
"What is the purpose of Elastic IP Addresses in EC2, and what are the costs associated with them?","Elastic IP addresses are automatically assigned to all EC2 instances and provide dynamic IP addresses that change when instances are stopped or restarted","Elastic IP Addresses: Static IPv4 addresses for dynamic cloud computing. Purpose: maintain consistent IP when instance stops/starts, remap to different instances quickly. Costs: Free when attached to running instance, charges apply when not attached to any instance or attached to stopped instance. Limit: 5 per region by default.","Elastic IP addresses can only be used for load balancers and cannot be associated with individual EC2 instances for static IP addressing","Elastic IP addresses are free regardless of usage and provide unlimited static IP addresses per region without any restrictions or charges","B","Elastic IP Addresses: Static IPv4 addresses for dynamic cloud computing. Purpose: maintain consistent IP when instance stops/starts, remap to different instances quickly. Costs: Free when attached to running instance, charges apply when not attached to any instance or attached to stopped instance. Limit: 5 per region by default."
"How does User Data work in EC2, and what are common use cases for User Data scripts?","User Data scripts run continuously in the background and automatically restart whenever the EC2 instance is rebooted or stopped","User Data: Scripts that run once at instance first launch (boot time) with root privileges. Use cases: install software packages, download files from internet, configure applications, set up web servers, automate system configuration. Runs only on first start, not on subsequent reboots unless configured.","User Data can only be used to configure network settings and cannot be used to install software or perform system configuration tasks","User Data scripts require manual execution after instance launch and cannot be automatically run during the boot process","B","User Data: Scripts that run once at instance first launch (boot time) with root privileges. Use cases: install software packages, download files from internet, configure applications, set up web servers, automate system configuration. Runs only on first start, not on subsequent reboots unless configured."
"What information is available through EC2 Instance Metadata, and how do you access it?","Instance Metadata is only accessible from outside the instance using AWS CLI or console, and cannot be accessed from within the running instance","EC2 Instance Metadata: Information about the instance accessible from within the instance. Access via: http://169.254.169.254/latest/meta-data/ (IMDSv1) or use IMDSv2 (token-based, more secure). Includes: instance ID, instance type, public/private IP, security groups, IAM role credentials, placement info. Used for: application configuration, bootstrap scripts, getting instance details programmatically.","Instance Metadata requires special IAM permissions and can only be accessed by users with administrative privileges, not by applications running on the instance","Instance Metadata is automatically encrypted and requires decryption keys that are only available through the AWS Console, making programmatic access impossible","B","EC2 Instance Metadata: Information about the instance accessible from within the instance. Access via: http://169.254.169.254/latest/meta-data/ (IMDSv1) or use IMDSv2 (token-based, more secure). Includes: instance ID, instance type, public/private IP, security groups, IAM role credentials, placement info. Used for: application configuration, bootstrap scripts, getting instance details programmatically."
"What are the different EC2 Placement Group types, and when should each be used?","Placement Groups automatically distribute instances across all regions to ensure maximum geographic diversity and fault tolerance","Placement Groups Types: Cluster (low latency, single AZ, risk of simultaneous failure), Spread (maximum isolation, instances on different hardware, multi-AZ, fault tolerance), Partition (rack-level isolation, multiple instances per partition, good for distributed systems). Use Cluster for HPC, Spread for critical apps, Partition for distributed databases.","All Placement Group types provide identical performance and fault tolerance characteristics, with the only difference being the naming convention","Placement Groups can only be used with On-Demand instances and cannot be applied to Reserved Instances or Spot Instances","B","Placement Groups Types: Cluster (low latency, single AZ, risk of simultaneous failure), Spread (maximum isolation, instances on different hardware, multi-AZ, fault tolerance), Partition (rack-level isolation, multiple instances per partition, good for distributed systems). Use Cluster for HPC, Spread for critical apps, Partition for distributed databases."
"How does EC2 Auto Scaling work, and what metrics can trigger scaling events?","Auto Scaling requires manual intervention for each scaling action and cannot automatically adjust instance capacity based on metrics or demand","EC2 Auto Scaling: Automatically adjusts number of instances based on demand. Works by: monitoring CloudWatch metrics (CPU, memory, custom), scaling policies (target tracking, step scaling, simple scaling), maintaining desired capacity. Triggers: CPU utilization, network traffic, custom metrics, scheduled actions. Scales out (add instances) when load increases, scales in (remove instances) when load decreases.","Auto Scaling only works with Reserved Instances and cannot be used with On-Demand or Spot Instances for automatic capacity management","Auto Scaling automatically scales all AWS services simultaneously and cannot be configured to scale only specific EC2 instances or application tiers","B","EC2 Auto Scaling: Automatically adjusts number of instances based on demand. Works by: monitoring CloudWatch metrics (CPU, memory, custom), scaling policies (target tracking, step scaling, simple scaling), maintaining desired capacity. Triggers: CPU utilization, network traffic, custom metrics, scheduled actions. Scales out (add instances) when load increases, scales in (remove instances) when load decreases."
"Explain the function of Elastic Load Balancing (ELB) and how it works with Auto Scaling.","Elastic Load Balancing automatically scales EC2 instances based on traffic patterns and does not require separate Auto Scaling Groups for capacity management","Elastic Load Balancing (ELB): Distributes incoming traffic across multiple EC2 instances. Works with Auto Scaling: ELB distributes traffic, Auto Scaling ensures enough instances are running, ELB health checks trigger instance replacement if unhealthy. Benefits: high availability, fault tolerance, automatic failover, improved performance.","ELB can only distribute traffic to instances in a single Availability Zone and cannot work with Auto Scaling Groups that span multiple AZs","Elastic Load Balancing requires manual configuration of target instances and cannot automatically integrate with Auto Scaling Groups or health check mechanisms","B","Elastic Load Balancing (ELB): Distributes incoming traffic across multiple EC2 instances. Works with Auto Scaling: ELB distributes traffic, Auto Scaling ensures enough instances are running, ELB health checks trigger instance replacement if unhealthy. Benefits: high availability, fault tolerance, automatic failover, improved performance."
"What is the purpose of an Amazon Machine Image (AMI), and how do you create custom AMIs?","AMIs are automatically generated by AWS for all EC2 instances and cannot be customized or modified by users for specific application requirements","AMI (Amazon Machine Image): Pre-configured template containing OS, application server, applications. Purpose: quick instance launches, consistent environments, backup/restore, golden images. Create custom AMI: launch instance, configure it, create image from instance (creates snapshot of EBS volumes). Can share AMIs across accounts or publicly.","AMIs can only be created from AWS-provided base images and cannot include custom software installations or application configurations","Custom AMIs require approval from AWS support and can only be shared within the same AWS account, preventing cross-account or public sharing","B","AMI (Amazon Machine Image): Pre-configured template containing OS, application server, applications. Purpose: quick instance launches, consistent environments, backup/restore, golden images. Create custom AMI: launch instance, configure it, create image from instance (creates snapshot of EBS volumes). Can share AMIs across accounts or publicly."
"What happens during each stage of the EC2 instance lifecycle, and how does billing work for each state?","EC2 instances are billed continuously regardless of state, with charges applying even when instances are stopped or terminated","EC2 Instance Lifecycle: pending (launching), running (active), stopping (being stopped), stopped (stopped, billing for storage only), shutting-down (being terminated), terminated (deleted, can't be started). Billing: charged while running, only storage charged when stopped, not charged when terminated. Termination protection prevents accidental termination.","Instances in stopped state continue to incur full compute charges, making termination the only way to stop billing for unused instances","The instance lifecycle stages are purely informational and do not affect billing, with all instances charged at the same rate regardless of their current state","B","EC2 Instance Lifecycle: pending (launching), running (active), stopping (being stopped), stopped (stopped, billing for storage only), shutting-down (being terminated), terminated (deleted, can't be started). Billing: charged while running, only storage charged when stopped, not charged when terminated. Termination protection prevents accidental termination."
"What EC2 metrics are available in CloudWatch, and how can you create custom metrics?","CloudWatch automatically monitors all EC2 metrics without any configuration, but custom metrics cannot be created or published by users","CloudWatch EC2 Metrics: CPUUtilization, NetworkIn/Out, DiskReadOps/WriteOps, StatusCheckFailed, custom metrics. Create custom metrics: publish data using PutMetricData API or CloudWatch agent. Use for: application monitoring, business metrics, detailed performance analysis. Metrics stored for 15 months (15 days at 1-minute granularity).","CloudWatch metrics are only available for Reserved Instances and cannot be used to monitor On-Demand or Spot Instances","Custom metrics require approval from AWS support and can only be created for Enterprise support plan customers with special licensing agreements","B","CloudWatch EC2 Metrics: CPUUtilization, NetworkIn/Out, DiskReadOps/WriteOps, StatusCheckFailed, custom metrics. Create custom metrics: publish data using PutMetricData API or CloudWatch agent. Use for: application monitoring, business metrics, detailed performance analysis. Metrics stored for 15 months (15 days at 1-minute granularity)."
"How does EC2 Instance Connect work, and what are its advantages over traditional SSH access?","EC2 Instance Connect requires pre-configured SSH keys and provides the same functionality as traditional SSH access with no additional benefits or security improvements","EC2 Instance Connect: Browser-based SSH access without SSH keys. How it works: uses temporary SSH keys generated by AWS, accessed via AWS Console, one-time use. Advantages: no need to manage SSH keys, quick access, secure (temporary credentials), works from anywhere with console access. Limitations: requires IAM permissions, only for emergency access, not for regular use.","Instance Connect can only be used from specific IP addresses and requires VPN connection to AWS network infrastructure for secure access","EC2 Instance Connect provides permanent SSH access credentials that are stored securely and can be reused across multiple sessions without expiration","B","EC2 Instance Connect: Browser-based SSH access without SSH keys. How it works: uses temporary SSH keys generated by AWS, accessed via AWS Console, one-time use. Advantages: no need to manage SSH keys, quick access, secure (temporary credentials), works from anywhere with console access. Limitations: requires IAM permissions, only for emergency access, not for regular use."
"What is EC2 Hibernate, and what are its requirements and limitations?","EC2 Hibernate automatically saves instance state to S3 and can be used with all instance types and configurations without any special requirements","EC2 Hibernate: Preserves in-memory state (RAM) when instance stops. On restart: resumes from exact state (faster than fresh boot). Requirements: instance must support hibernation (certain instance types), root volume must be encrypted, sufficient EBS volume size for RAM. Limitations: not all instance types support it, larger instance families (C5, M5, R5, etc.).","Hibernate requires manual state saving and cannot automatically preserve in-memory data when instances are stopped or terminated","EC2 Hibernate is only available for Windows instances and cannot be used with Linux-based EC2 instances or custom AMIs","B","EC2 Hibernate: Preserves in-memory state (RAM) when instance stops. On restart: resumes from exact state (faster than fresh boot). Requirements: instance must support hibernation (certain instance types), root volume must be encrypted, sufficient EBS volume size for RAM. Limitations: not all instance types support it, larger instance families (C5, M5, R5, etc.)."
"How does EC2 Spot Fleet differ from individual Spot Instances, and what are its benefits?","Spot Fleet provides guaranteed availability and prevents instance termination, making it suitable for critical production workloads that cannot tolerate interruptions","EC2 Spot Fleet: Manages collection of Spot Instances (and optionally On-Demand) to meet capacity needs. Benefits: automatic diversification across instance types and AZs (reduces interruption risk), cost optimization (chooses cheapest combination), maintains target capacity. Difference from single Spot: higher availability, better fault tolerance, automatic rebalancing.","Spot Fleet can only use a single instance type and Availability Zone, providing less flexibility than individual Spot Instance management","Spot Fleet requires manual capacity management and cannot automatically adjust instance counts or types based on availability or cost optimization","B","EC2 Spot Fleet: Manages collection of Spot Instances (and optionally On-Demand) to meet capacity needs. Benefits: automatic diversification across instance types and AZs (reduces interruption risk), cost optimization (chooses cheapest combination), maintains target capacity. Difference from single Spot: higher availability, better fault tolerance, automatic rebalancing."
"What is the difference between EC2 Dedicated Instances and Dedicated Hosts?","Dedicated Instances and Dedicated Hosts are identical services with the same capabilities, pricing, and use cases, making them interchangeable","Dedicated Instances: Run on hardware dedicated to your account, but you don't control placement. Dedicated Hosts: Physical servers dedicated to you, full control over instance placement, can use existing licenses. Key difference: Dedicated Hosts give you visibility and control over underlying hardware, Dedicated Instances just ensure isolation.","Dedicated Instances provide full control over hardware placement and license management, while Dedicated Hosts only ensure account-level isolation","Dedicated Hosts are automatically assigned to all EC2 instances and provide better performance at no additional cost compared to regular instances","B","Dedicated Instances: Run on hardware dedicated to your account, but you don't control placement. Dedicated Hosts: Physical servers dedicated to you, full control over instance placement, can use existing licenses. Key difference: Dedicated Hosts give you visibility and control over underlying hardware, Dedicated Instances just ensure isolation."
"What are EC2 Launch Templates, and how do they improve upon Launch Configurations?","Launch Templates are identical to Launch Configurations with no functional differences, providing the same capabilities for instance configuration management","EC2 Launch Templates: Version-controlled templates for instance configurations. Improve upon Launch Configurations by: supporting multiple instance types, versioning (can't modify, must create new version), parameter combinations, better integration with Auto Scaling and Spot Fleet. Launch Configurations are legacy and less flexible.","Launch Templates can only be used with On-Demand instances and cannot be applied to Reserved Instances, Spot Instances, or Auto Scaling Groups","Launch Templates require manual version management and cannot automatically track changes or maintain configuration history like Launch Configurations","B","EC2 Launch Templates: Version-controlled templates for instance configurations. Improve upon Launch Configurations by: supporting multiple instance types, versioning (can't modify, must create new version), parameter combinations, better integration with Auto Scaling and Spot Fleet. Launch Configurations are legacy and less flexible."
"What is EC2 Enhanced Networking, and which instance types support it?","Enhanced Networking is automatically enabled for all EC2 instance types and provides uniform network performance across all instance families without configuration","EC2 Enhanced Networking: Provides higher network performance using SR-IOV (Single Root I/O Virtualization). Benefits: higher bandwidth (up to 100 Gbps), lower latency, lower jitter, more consistent performance. Support: Most current generation instances (C5, M5, R5, etc.) support it. Requires: HVM virtualization, compatible AMI, VPC required.","Enhanced Networking is only available for legacy instance types and cannot be used with current generation instances or VPC-based deployments","Enhanced Networking requires special network hardware and can only be enabled for instances in specific Availability Zones with dedicated network infrastructure","B","EC2 Enhanced Networking: Provides higher network performance using SR-IOV (Single Root I/O Virtualization). Benefits: higher bandwidth (up to 100 Gbps), lower latency, lower jitter, more consistent performance. Support: Most current generation instances (C5, M5, R5, etc.) support it. Requires: HVM virtualization, compatible AMI, VPC required."
"What are the performance characteristics of Instance Store volumes, and when should they be used?","Instance Store volumes provide persistent storage that survives instance termination and should be used for all database and application data requirements","Instance Store Volumes: Ephemeral storage physically attached to host. Performance: Very high IOPS (hundreds of thousands), very low latency, no network overhead. Use when: need maximum IOPS, temporary/cache data, can afford data loss. Not suitable for: persistent data, databases (unless replicated), anything that needs to survive instance stop.","Instance Store volumes have lower IOPS performance than EBS volumes and should only be used for low-performance storage requirements","Instance Store volumes automatically replicate data across multiple Availability Zones, providing better durability than EBS volumes for critical applications","B","Instance Store Volumes: Ephemeral storage physically attached to host. Performance: Very high IOPS (hundreds of thousands), very low latency, no network overhead. Use when: need maximum IOPS, temporary/cache data, can afford data loss. Not suitable for: persistent data, databases (unless replicated), anything that needs to survive instance stop."
"How do you enable termination protection for EC2 instances, and what are best practices?","Termination protection is automatically enabled for all EC2 instances and cannot be disabled, ensuring maximum protection against accidental deletion","Termination Protection: Prevents accidental termination of instances. Enable: EC2 Console → Instance → Actions → Instance Settings → Change Termination Protection. Best practices: Enable for production instances, disable for dev/test, use with critical workloads, combine with backups. Note: Still charged when stopped, must disable protection to terminate.","Termination protection can only be enabled for Reserved Instances and cannot be applied to On-Demand or Spot Instances for cost management","Termination protection prevents all instance operations including stopping and restarting, requiring complete instance recreation for any configuration changes","B","Termination Protection: Prevents accidental termination of instances. Enable: EC2 Console → Instance → Actions → Instance Settings → Change Termination Protection. Best practices: Enable for production instances, disable for dev/test, use with critical workloads, combine with backups. Note: Still charged when stopped, must disable protection to terminate."
"What are the security improvements in IMDSv2 compared to IMDSv1, and why should you use it?","IMDSv1 and IMDSv2 provide identical security features with no differences in authentication mechanisms or protection against SSRF attacks","IMDSv2 (Instance Metadata Service v2): Enhanced metadata service requiring session authentication tokens. Security improvements: Token-based authentication (prevents SSRF attacks), session tokens (time-limited), PUT request required to get token. IMDSv1: Simple GET requests (vulnerable to SSRF). Use IMDSv2 for: better security, compliance requirements, defense in depth. Can enforce IMDSv2 at launch.","IMDSv2 requires manual token management and cannot be automatically configured, making it less secure than IMDSv1 for automated deployments","IMDSv2 is only available for instances in specific regions and cannot be used with all EC2 instance types or AMI configurations","B","IMDSv2 (Instance Metadata Service v2): Enhanced metadata service requiring session authentication tokens. Security improvements: Token-based authentication (prevents SSRF attacks), session tokens (time-limited), PUT request required to get token. IMDSv1: Simple GET requests (vulnerable to SSRF). Use IMDSv2 for: better security, compliance requirements, defense in depth. Can enforce IMDSv2 at launch."
"How do EC2 Capacity Reservations work, and how do they differ from Reserved Instances?","Capacity Reservations provide cost discounts similar to Reserved Instances and guarantee both capacity availability and pricing reductions for long-term commitments","EC2 Capacity Reservations: Reserve On-Demand capacity in specific AZ for any duration. Purpose: Ensure capacity is available when needed, guaranteed availability. Difference from Reserved Instances: Capacity Reservations guarantee capacity (not discount), tied to specific AZ, no term commitment, pay On-Demand rates. Reserved Instances provide discounts but don't guarantee capacity.","Capacity Reservations can only be used for Spot Instances and cannot be applied to On-Demand instances or Reserved Instance configurations","Capacity Reservations automatically apply to all instances in an account and cannot be configured for specific instance types or Availability Zones","B","EC2 Capacity Reservations: Reserve On-Demand capacity in specific AZ for any duration. Purpose: Ensure capacity is available when needed, guaranteed availability. Difference from Reserved Instances: Capacity Reservations guarantee capacity (not discount), tied to specific AZ, no term commitment, pay On-Demand rates. Reserved Instances provide discounts but don't guarantee capacity."
"How do you interpret EC2 instance type names, and what does each component indicate?","Instance type names are randomly assigned by AWS and do not follow any consistent pattern or naming convention that indicates capabilities or resources","EC2 Instance Naming Pattern: family.generation.size (e.g., t3.micro). Family: indicates use case (t=burstable, m=general purpose, c=compute, r=memory, i=storage). Generation: iteration number (higher = newer/better). Size: resource allocation (nano, micro, small, medium, large, xlarge, 2xlarge, etc.). Example: m5.2xlarge = M family, generation 5, 2xlarge size (8 vCPU, 32 GB RAM).","Instance type names are based on geographic region and Availability Zone, with the naming convention indicating where the instance is located rather than its capabilities","All instance types within the same family provide identical resources regardless of generation or size designation, making the naming convention purely cosmetic","B","EC2 Instance Naming Pattern: family.generation.size (e.g., t3.micro). Family: indicates use case (t=burstable, m=general purpose, c=compute, r=memory, i=storage). Generation: iteration number (higher = newer/better). Size: resource allocation (nano, micro, small, medium, large, xlarge, 2xlarge, etc.). Example: m5.2xlarge = M family, generation 5, 2xlarge size (8 vCPU, 32 GB RAM)."
